2016-11-06 17:15:38 startup archives install
2016-11-06 17:15:38 install base-passwd:armhf <none> 3.5.37
2016-11-06 17:15:38 status half-installed base-passwd:armhf 3.5.37
2016-11-06 17:15:38 status unpacked base-passwd:armhf 3.5.37
2016-11-06 17:15:38 status unpacked base-passwd:armhf 3.5.37
2016-11-06 17:15:38 configure base-passwd:armhf 3.5.37 3.5.37
2016-11-06 17:15:38 status unpacked base-passwd:armhf 3.5.37
2016-11-06 17:15:38 status half-configured base-passwd:armhf 3.5.37
2016-11-06 17:15:39 status installed base-passwd:armhf 3.5.37
2016-11-06 17:15:39 startup archives install
2016-11-06 17:15:39 install base-files:armhf <none> 8+deb8u6
2016-11-06 17:15:39 status half-installed base-files:armhf 8+deb8u6
2016-11-06 17:15:39 status unpacked base-files:armhf 8+deb8u6
2016-11-06 17:15:39 status unpacked base-files:armhf 8+deb8u6
2016-11-06 17:15:39 configure base-files:armhf 8+deb8u6 8+deb8u6
2016-11-06 17:15:39 status unpacked base-files:armhf 8+deb8u6
2016-11-06 17:15:39 status unpacked base-files:armhf 8+deb8u6
2016-11-06 17:15:39 status unpacked base-files:armhf 8+deb8u6
2016-11-06 17:15:39 status unpacked base-files:armhf 8+deb8u6
2016-11-06 17:15:39 status unpacked base-files:armhf 8+deb8u6
2016-11-06 17:15:39 status unpacked base-files:armhf 8+deb8u6
2016-11-06 17:15:39 status half-configured base-files:armhf 8+deb8u6
2016-11-06 17:15:41 status installed base-files:armhf 8+deb8u6
2016-11-06 17:15:41 startup archives install
2016-11-06 17:15:41 upgrade dpkg 1.17.27 1.17.27
2016-11-06 17:15:41 status half-configured dpkg 1.17.27
2016-11-06 17:15:41 status unpacked dpkg 1.17.27
2016-11-06 17:15:41 status half-installed dpkg 1.17.27
2016-11-06 17:15:41 status half-installed dpkg 1.17.27
2016-11-06 17:15:41 status unpacked dpkg 1.17.27
2016-11-06 17:15:41 status unpacked dpkg 1.17.27
2016-11-06 17:15:41 configure dpkg 1.17.27 1.17.27
2016-11-06 17:15:41 status unpacked dpkg 1.17.27
2016-11-06 17:15:41 status unpacked dpkg 1.17.27
2016-11-06 17:15:41 status unpacked dpkg 1.17.27
2016-11-06 17:15:41 status unpacked dpkg 1.17.27
2016-11-06 17:15:41 status unpacked dpkg 1.17.27
2016-11-06 17:15:41 status half-configured dpkg 1.17.27
2016-11-06 17:15:41 status installed dpkg 1.17.27
2016-11-06 17:15:41 startup archives install
2016-11-06 17:15:42 install libc6:armhf <none> 2.19-18+deb8u6
2016-11-06 17:15:42 status half-installed libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:42 status unpacked libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:42 status unpacked libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:42 configure libc6:armhf 2.19-18+deb8u6 2.19-18+deb8u6
2016-11-06 17:15:42 status unpacked libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:42 status unpacked libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:42 status half-configured libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:43 status installed libc6:armhf 2.19-18+deb8u6
2016-11-06 17:15:43 startup archives install
2016-11-06 17:15:43 install perl-base:armhf <none> 5.20.2-3+deb8u6
2016-11-06 17:15:43 status half-installed perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:15:44 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:15:44 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:15:44 configure perl-base:armhf 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2016-11-06 17:15:44 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:15:44 status half-configured perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:15:44 status installed perl-base:armhf 5.20.2-3+deb8u6
2016-11-06 17:15:44 startup archives install
2016-11-06 17:15:44 install mawk:armhf <none> 1.3.3-17
2016-11-06 17:15:44 status half-installed mawk:armhf 1.3.3-17
2016-11-06 17:15:44 status unpacked mawk:armhf 1.3.3-17
2016-11-06 17:15:44 status unpacked mawk:armhf 1.3.3-17
2016-11-06 17:15:44 configure mawk:armhf 1.3.3-17 1.3.3-17
2016-11-06 17:15:44 status unpacked mawk:armhf 1.3.3-17
2016-11-06 17:15:44 status half-configured mawk:armhf 1.3.3-17
2016-11-06 17:15:44 status installed mawk:armhf 1.3.3-17
2016-11-06 17:15:44 startup archives install
2016-11-06 17:15:44 install debconf:all <none> 1.5.56
2016-11-06 17:15:44 status half-installed debconf:all 1.5.56
2016-11-06 17:15:45 status unpacked debconf:all 1.5.56
2016-11-06 17:15:45 status unpacked debconf:all 1.5.56
2016-11-06 17:15:45 configure debconf:all 1.5.56 1.5.56
2016-11-06 17:15:45 status unpacked debconf:all 1.5.56
2016-11-06 17:15:45 status unpacked debconf:all 1.5.56
